No Country for Old Men	Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.	2023-01-11T16:28:15.853Z	crime	1994	3.9	https://10.react.pages.academy/static/film/video/dog.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss	Martin Scorsese	113	21	Jemaine Clement	test@pisem.local	https://10.react.pages.academy/static/avatar/3.jpg	kfjsd7f7ah	https://10.react.pages.academy/static/film/poster/matrix.jpg	https://10.react.pages.academy/static/film/background/matrix.jpg	#D6CDAF
Orlando	Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.	2023-01-11T16:28:15.855Z	family	2020	4.4	https://10.react.pages.academy/static/film/video/dog.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Tilda Swinton, Billy Zane, Quentin Crisp	Jemaine Clement	136	16	Martin Scorsese	freedom@pisem.local	https://10.react.pages.academy/static/avatar/4.jpg	21fssa1	https://10.react.pages.academy/static/film/poster/Moonrise_Kingdom.jpg	https://10.react.pages.academy/static/film/background/War_of_the_Worlds.jpg	#C4C0C0
Orlando	In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, though he's unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.	2023-01-10T16:28:15.855Z	thriller	2008	4.1	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Rami Malek, Lucy Boynton, Gwilym Lee	Wachowski Brothers	119	2	Jemaine Clement	president@dka.local	https://10.react.pages.academy/static/avatar/2.jpg	asd13411	https://10.react.pages.academy/static/film/poster/Moonrise_Kingdom.jpg	https://10.react.pages.academy/static/film/background/beach.jpg	#CBAC79
Legend	A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.	2023-01-15T16:28:15.856Z	scifi	1998	3.3	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon	Jemaine Clement	88	6	Martin Scorsese	president@dka.local	https://10.react.pages.academy/static/avatar/5.jpg	asd13411	https://10.react.pages.academy/static/film/poster/Aviator.jpg	https://10.react.pages.academy/static/film/background/War_of_the_Worlds.jpg	#A6B7AC
What We Do in the Shadows	A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.	2023-01-15T16:28:15.856Z	family	2014	7.2	https://10.react.pages.academy/static/film/video/dog.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Tommy Lee Jones, Javier Bardem, Josh Brolin	Sergio Leone	92	13	Martin Scorsese	test@pisem.local	https://10.react.pages.academy/static/avatar/5.jpg	asd13411	https://10.react.pages.academy/static/film/poster/Pulp_Fiction.jpg	https://10.react.pages.academy/static/film/background/Johnny_English.jpg	#92918B
Seven Years in Tibet	Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.	2023-01-16T16:28:15.856Z	comedy	1999	10	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/matrix.mp4	Rowan Atkinson, John Malkovich, Natalie Imbruglia	Martin Scorsese	116	3	Guy Ritchie	president@dka.local	https://10.react.pages.academy/static/avatar/3.jpg	asd13411	https://10.react.pages.academy/static/film/poster/Gangs_of_New_York_Poster.jpg	https://10.react.pages.academy/static/film/background/War_of_the_Worlds.jpg	#A39E81
Macbeth	Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.	2023-01-11T16:28:15.856Z	thriller	2015	3.4	https://10.react.pages.academy/static/film/video/dog.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon	Peter Howitt	136	13	Wes Anderson	freedom@pisem.local	https://10.react.pages.academy/static/avatar/1.jpg	asd13411	https://10.react.pages.academy/static/film/poster/Midnight_Special.jpg	https://10.react.pages.academy/static/film/background/beach.jpg	#B9B27E
Shutter Island	True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.	2023-01-14T16:28:15.856Z	family	2009	4	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Owen Wilson, Adrien Brody, Jason Schwartzman	Sergio Leone	134	21	Peter Howitt	fish@big.local	https://10.react.pages.academy/static/avatar/1.jpg	24ffwqq	https://10.react.pages.academy/static/film/poster/Johnny_English.jpg	https://10.react.pages.academy/static/film/background/Johnny_English.jpg	#C4C0C0
What We Do in the Shadows	The lives of two mob hitmen, a boxer, a gangster & his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.	2023-01-10T16:28:15.856Z	drama	2022	7.2	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/bubbles.mp4	Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss	Justin Kurzel	134	21	Martin Scorsese	test@pisem.local	https://10.react.pages.academy/static/avatar/4.jpg	kfjsd7f7ah	https://10.react.pages.academy/static/film/poster/We_need_to_talk_about_Kevin.jpg	https://10.react.pages.academy/static/film/background/Bohemian_Rhapsody.jpg	#CBAC79
Johnny English	A look into the daily (or rather, nightly) lives of three vampires who've lived together for over 100 years, in Staten Island.	2023-01-13T16:28:15.856Z	romance	2004	3.6	https://10.react.pages.academy/static/film/video/traffic.mp4	https://10.react.pages.academy/static/film/video/bike.mp4	Jason Statham, Brad Pitt, Benicio Del Toro	Wes Anderson	94	13	Wes Anderson	rolan@pochta.local	https://10.react.pages.academy/static/avatar/5.jpg	24ffwqq	https://10.react.pages.academy/static/film/poster/Fantastic_Beasts.jpg	https://10.react.pages.academy/static/film/background/Johnny_English.jpg	#9B7E61
